学工号,姓名,交易额,交易时间,商户名称
2021****00,卢**,4.6,2022/11/15 17:31,淘乐学苑水果
2021****00,卢**,10,2022/11/15 16:59,学院食堂陕西名小吃
2021****00,卢**,4,2022/11/15 14:02,百味佳副食一组
2021****00,卢**,4,2022/11/15 12:34,学苑食堂霞姐饮品店
2021****00,卢**,17,2022/11/15 12:12,学苑食堂香恋香拌砂锅
2021****00,卢**,16.72,2022/11/14 17:23,美食林小猪憨尼麻辣烫
2021****00,卢**,12,2022/11/14 12:05,民族餐厅金家店
2021****00,卢**,14,2022/11/13 18:20,美食林老上客砂锅
2021****00,卢**,13,2022/11/13 18:20,美食林老上客砂锅
2021****00,卢**,20,2022/11/13 11:26,学苑食堂香恋香拌砂锅
2021****00,卢**,1,2022/11/12 12:24,民族餐厅真味主题烧烤吧
2021****00,卢**,8,2022/11/12 12:10,民族餐厅山西饸饹面
2021****00,卢**,12,2022/11/12 12:03,民族餐厅金家店
2021****00,卢**,21,2022/11/11 21:32,中央红-辣货
2021****00,卢**,26.6,2022/11/11 21:31,中央红小月亮门店4
2021****00,卢**,8,2022/11/11 21:17,中央红-水果
2021****00,卢**,12.91,2022/11/11 17:38,阳光副食二组
2021****00,卢**,8,2022/11/11 12:27,淘乐学苑水果
2021****00,卢**,2.6,2022/11/11 12:25,学苑食堂包子
2021****00,卢**,7,2022/11/11 12:12,学苑食堂包子
2021****00,卢**,3.7,2022/11/11 7:59,学苑食堂副食三组
2021****00,卢**,12,2022/11/10 18:15,美食林老上客砂锅
2021****00,卢**,4,2022/11/10 11:44,学苑食堂香恋香拌砂锅
2021****00,卢**,13,2022/11/9 17:21,阳光川蜀源烤鱼
2021****00,卢**,27,2022/11/9 11:53,学苑食堂香恋香拌砂锅
2021****00,卢**,4.2,2022/11/9 7:54,学苑食堂副食三组
2021****00,卢**,13.78,2022/11/8 17:31,阳光副食二组
2021****00,卢**,6,2022/11/8 11:53,淘乐学苑水果
2021****00,卢**,2,2022/11/7 17:54,阳光副食二组
2021****00,卢**,15,2022/11/7 17:50,阳光川蜀源烤鱼
2021****00,卢**,0.1,2022/11/7 7:54,学苑食堂副食三组
2021****00,卢**,6,2022/11/7 7:54,学苑食堂副食三组
