学工号,姓名,交易额,交易时间,商户名称
2021****86,赖**,3.5,2023/3/10 7:43,百味佳副食一组
2021****86,赖**,18,2023/3/9 17:14,学苑食堂副食三组
2021****86,赖**,12,2023/3/9 11:33,美食林90后串炒饭
2021****86,赖**,3.2,2023/3/9 7:35,百味佳副食一组
2021****86,赖**,14,2023/3/8 17:34,学院食堂陕西名小吃
2021****86,赖**,12.2,2023/3/8 11:44,百味佳副食一组
2021****86,赖**,5,2023/3/8 8:49,百味佳副食一组
2021****86,赖**,12,2023/3/7 17:36,民族餐厅金家店
2021****86,赖**,12,2023/3/7 11:39,美食林川蜀源烤鱼
2021****86,赖**,4.6,2023/3/7 7:52,百味佳副食一组
2021****86,赖**,12,2023/3/6 18:14,学苑食堂铁锅焖面
2021****86,赖**,12,2023/3/6 11:33,美食林川蜀源烤鱼
2021****86,赖**,2.85,2023/3/6 9:04,百味佳副食一组
2021****86,赖**,3.6,2023/3/5 18:00,淘乐学苑水果
2021****86,赖**,12,2023/3/5 17:33,学苑食堂香恋香拌砂锅
2021****86,赖**,12,2023/3/5 11:52,美食林川蜀源烤鱼
2021****86,赖**,3.5,2023/3/5 9:02,百味佳副食一组
2021****86,赖**,9,2023/3/4 17:50,美食林老上客砂锅
2021****86,赖**,16,2023/3/4 11:20,阳光广式猪脚饭
2021****86,赖**,4,2023/3/4 8:15,百味佳副食一组
2021****86,赖**,11,2023/3/3 17:14,美食林90后串炒饭
2021****86,赖**,10,2023/3/3 11:50,民族餐厅山西饸饹面
2021****86,赖**,3.6,2023/3/3 7:35,百味佳副食一组
2021****86,赖**,12,2023/3/2 17:53,美食林90后串炒饭
2021****86,赖**,18,2023/3/2 11:38,学苑食堂副食三组
2021****86,赖**,3.6,2023/3/2 7:31,百味佳副食一组
2021****86,赖**,6,2023/3/1 17:42,淘乐学苑水果
2021****86,赖**,10,2023/3/1 17:29,美食林阿咪酱骨扒肉
2021****86,赖**,10.7,2023/3/1 11:51,百味佳副食一组
2021****86,赖**,5.1,2023/3/1 8:56,百味佳副食一组
2021****86,赖**,6,2023/2/28 17:50,淘乐学苑水果
2021****86,赖**,15,2023/2/28 17:29,美食林真牛铁板
2021****86,赖**,10.7,2023/2/28 11:53,百味佳副食一组
2021****86,赖**,10.7,2023/2/28 11:52,百味佳副食一组
2021****86,赖**,2.1,2023/2/28 7:48,百味佳副食一组
2021****86,赖**,13.02,2023/2/27 17:33,美食林小猪憨尼麻辣烫
2021****86,赖**,12.2,2023/2/27 11:59,百味佳副食一组
2021****86,赖**,3.05,2023/2/27 8:52,百味佳主食二组
2021****86,赖**,10,2023/2/26 17:28,民族餐厅山西饸饹面
2021****86,赖**,12.2,2023/2/26 11:50,百味佳副食一组
2021****86,赖**,5.1,2023/2/26 9:13,百味佳副食一组
2021****86,赖**,14.06,2023/2/25 17:43,美食林小猪憨尼麻辣烫
2021****86,赖**,12,2023/2/25 11:41,友来朝鲜风味
2021****86,赖**,4.1,2023/2/25 8:05,百味佳副食一组
2021****86,赖**,13,2023/2/24 17:31,民族餐厅铁板料理
2021****86,赖**,12.4,2023/2/24 11:52,紫丁香餐吧机器人收银组
2021****86,赖**,4.1,2023/2/24 7:42,百味佳副食一组
2021****86,赖**,12,2023/2/23 18:23,学苑食堂铁锅焖面
2021****86,赖**,16,2023/2/23 11:35,阳光广式猪脚饭
2021****86,赖**,4.1,2023/2/23 7:34,百味佳副食一组
2021****86,赖**,6,2023/2/22 17:45,淘乐学苑水果
2021****86,赖**,18,2023/2/22 17:25,美食林90后串炒饭
2021****86,赖**,11.2,2023/2/22 11:49,百味佳副食一组
2021****86,赖**,4.1,2023/2/22 7:48,百味佳副食一组
2021****86,赖**,6,2023/2/21 17:58,淘乐学苑水果
2021****86,赖**,11,2023/2/21 17:31,美食林老上客砂锅
2021****86,赖**,12.2,2023/2/21 11:50,百味佳副食一组
2021****86,赖**,4.3,2023/2/21 7:33,百味佳副食一组
2021****86,赖**,6,2023/2/20 17:45,淘乐学苑水果
2021****86,赖**,11.5,2023/2/20 17:31,美食林真牛铁板
2021****86,赖**,8.2,2023/2/20 11:29,百味佳副食一组
2021****86,赖**,2.95,2023/2/20 8:58,百味佳副食一组
2021****86,赖**,6,2023/2/19 18:05,淘乐学苑水果
2021****86,赖**,12.2,2023/2/19 17:54,百味佳副食一组
2021****86,赖**,1,2023/2/19 11:49,学苑食堂香恋香拌砂锅
2021****86,赖**,12,2023/2/19 11:42,学苑食堂香恋香拌砂锅
2021****86,赖**,3.25,2023/2/19 9:06,百味佳副食一组
2021****86,赖**,6,2023/2/18 17:47,淘乐学苑水果
2021****86,赖**,12.28,2023/2/18 17:23,美食林小猪憨尼麻辣烫
2021****86,赖**,14,2023/2/18 12:07,阳光广式猪脚饭
2021****86,赖**,2.95,2023/2/18 8:55,百味佳副食一组
2021****86,赖**,6,2023/2/17 18:07,淘乐学苑水果
2021****86,赖**,15,2023/2/17 17:48,美食林真牛铁板
2021****86,赖**,6,2023/2/17 11:33,淘乐学苑水果
2021****86,赖**,16,2023/2/17 11:13,阳光广式猪脚饭
2021****86,赖**,16,2023/2/16 12:09,阳光广式猪脚饭
2021****86,赖**,3.15,2023/2/16 8:51,百味佳副食一组
2021****86,赖**,6,2023/2/15 17:56,淘乐学苑水果
2021****86,赖**,12,2023/2/15 17:40,学苑食堂副食三组
2021****86,赖**,2,2023/2/15 11:48,阳光广式猪脚饭
2021****86,赖**,14,2023/2/15 11:48,阳光广式猪脚饭
2021****86,赖**,2.2,2023/2/15 9:01,百味佳副食一组
2021****86,赖**,6,2023/2/14 17:58,淘乐学苑水果
2021****86,赖**,14,2023/2/14 17:47,美食林阿咪酱骨扒肉
2021****86,赖**,11.2,2023/2/14 11:14,百味佳副食一组
2021****86,赖**,2.85,2023/2/14 8:43,百味佳副食一组
2021****86,赖**,6,2023/2/13 18:09,淘乐学苑水果
2021****86,赖**,15.24,2023/2/13 17:40,美食林小猪憨尼麻辣烫
2021****86,赖**,8.2,2023/2/13 11:35,百味佳副食一组
2021****86,赖**,4.1,2023/2/13 8:53,百味佳副食一组
2021****86,赖**,10,2023/2/12 17:48,美食林真牛铁板
2021****86,赖**,4.7,2022/12/3 8:57,百味佳副食一组
2021****86,赖**,16,2022/12/2 11:57,阳光广式猪脚饭
2021****86,赖**,3.35,2022/12/2 8:53,百味佳副食一组
2021****86,赖**,15,2022/12/1 17:15,友来朝鲜风味
2021****86,赖**,18.5,2022/11/30 17:28,民族餐厅旋转小火锅
2021****86,赖**,2,2022/11/30 16:52,民族餐厅旋转小火锅
2021****86,赖**,3.6,2022/11/30 9:09,百味佳副食一组
2021****86,赖**,12,2022/11/29 16:59,美食林90后串炒饭
